Crop,Description,How_to_Grow,Economic_Importance,Uses,Major_Districts,YouTube_Links,Article_Links
Fruits,"Fruits is cultivated in Northern Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara.","1. Soil type (ಮಣ್ಣು): red or black ಮಣ್ಣು (ಕೆಂಪು/ಕಪ್ಪು ಮಣ್ಣು) with variable fertility; improve with organic matter.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Semi-arid — sow with onset of monsoon and plan for supplemental irrigation (ನೀರಾವರಿ) during dry spells.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Fruits supports local food and income needs in Northern Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Pomegranate,"Pomegranate (Punica granatum) is cultivated in Northern Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara.","1. Soil type (ಮಣ್ಣು): red or black ಮಣ್ಣು (ಕೆಂಪು/ಕಪ್ಪು ಮಣ್ಣು) with variable fertility; improve with organic matter.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Semi-arid — sow with onset of monsoon and plan for supplemental irrigation (ನೀರಾವರಿ) during dry spells.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Pomegranate supports local food and income needs in Northern Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara",Pomegranate cultivation (YouTube): https://www.youtube.com/watch?v=rdUgNBXO38A,Pomegranate farming guide (FarmAtma): https://www.farmatma.in/pomegranate-farming/
Grapes,"Grapes (Vitis vinifera) is cultivated in Northern Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara.","1. Soil type (ಮಣ್ಣು): red or black ಮಣ್ಣು (ಕೆಂಪು/ಕಪ್ಪು ಮಣ್ಣು) with variable fertility; improve with organic matter.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Semi-arid — sow with onset of monsoon and plan for supplemental irrigation (ನೀರಾವರಿ) during dry spells.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Grapes supports local food and income needs in Northern Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara",Grape cultivation & trellis systems (YouTube): https://www.youtube.com/watch?v=Kp9K8X1h2tI,Grape cultivation (AgriFarming): https://www.agrifarming.in/grape-cultivation/
Vegetables,"Vegetables is cultivated in Northern Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara.","1. Soil type (ಮಣ್ಣು): red or black ಮಣ್ಣು (ಕೆಂಪು/ಕಪ್ಪು ಮಣ್ಣು) with variable fertility; improve with organic matter.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Semi-arid — sow with onset of monsoon and plan for supplemental irrigation (ನೀರಾವರಿ) during dry spells.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Vegetables supports local food and income needs in Northern Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Onion,"Onion (Allium cepa) is cultivated in Northern Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara.","1. Soil type (ಮಣ್ಣು): red or black ಮಣ್ಣು (ಕೆಂಪು/ಕಪ್ಪು ಮಣ್ಣು) with variable fertility; improve with organic matter.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Semi-arid — sow with onset of monsoon and plan for supplemental irrigation (ನೀರಾವರಿ) during dry spells.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Onion supports local food and income needs in Northern Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Brinjal (eggplant),"Brinjal (eggplant) is cultivated in Northern Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara.","1. Soil type (ಮಣ್ಣು): red or black ಮಣ್ಣು (ಕೆಂಪು/ಕಪ್ಪು ಮಣ್ಣು) with variable fertility; improve with organic matter.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Semi-arid — sow with onset of monsoon and plan for supplemental irrigation (ನೀರಾವರಿ) during dry spells.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Brinjal (eggplant) supports local food and income needs in Northern Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Chilli,"Chilli is cultivated in Northern Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara.","1. Soil type (ಮಣ್ಣು): red or black ಮಣ್ಣು (ಕೆಂಪು/ಕಪ್ಪು ಮಣ್ಣು) with variable fertility; improve with organic matter.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Semi-arid — sow with onset of monsoon and plan for supplemental irrigation (ನೀರಾವರಿ) during dry spells.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Chilli supports local food and income needs in Northern Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Leafy vegetables,"Leafy vegetables is cultivated in Northern Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara.","1. Soil type (ಮಣ್ಣು): red or black ಮಣ್ಣು (ಕೆಂಪು/ಕಪ್ಪು ಮಣ್ಣು) with variable fertility; improve with organic matter.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Semi-arid — sow with onset of monsoon and plan for supplemental irrigation (ನೀರಾವರಿ) during dry spells.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Leafy vegetables supports local food and income needs in Northern Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Cereals,"Cereals is cultivated in Northern Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara.","1. Soil type (ಮಣ್ಣು): red or black ಮಣ್ಣು (ಕೆಂಪು/ಕಪ್ಪು ಮಣ್ಣು) with variable fertility; improve with organic matter.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Semi-arid — sow with onset of monsoon and plan for supplemental irrigation (ನೀರಾವರಿ) during dry spells.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Cereals supports local food and income needs in Northern Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
Jowar (sorghum),"Jowar (sorghum) (Sorghum bicolor) is cultivated in Northern Karnataka. It is important locally for food and income and adapted to local climate and soils. Major producing districts include Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara.","1. Soil type (ಮಣ್ಣು): red or black ಮಣ್ಣು (ಕೆಂಪು/ಕಪ್ಪು ಮಣ್ಣು) with variable fertility; improve with organic matter.

2. Land preparation (ನೆಲ ಸಿದ್ಧತೆ): Plough 2–3 times, remove weeds and level the field. Incorporate well-rotted farmyard manure (ಗೊಬ್ಬರ) or compost into the topsoil.

3. Sowing time (ಬಿತ್ತನೆ ಸಮಯ): Semi-arid — sow with onset of monsoon and plan for supplemental irrigation (ನೀರಾವರಿ) during dry spells.

4. Seed rate & spacing (ಬೀಜ ಪ್ರಮಾಣ ಮತ್ತು ಅಂತರ): Use recommended seed rates from KVK/UAS.

5. Fertilizer & manure (ಗೊಬ್ಬರ ಮತ್ತು ಎರೆವು): Apply FYM and balanced NPK based on soil test.

6. Watering schedule (ನೀರಾವರಿ): Water as per crop stage; use drip ನೀರಾವರಿ where possible.

7. Weeding and interculture (ಕೊಳೆ ತೆಗೆಯುವುದು): Timely weeding and mulching helps conserve moisture.

8. Pest & disease control (ಕೀಟ/ರೋಗ): Follow IPM and use neem-based (ನಿಂಬೆ) biopesticides for minor pests.

9. Harvesting (ಕೊಯ್ದು): Harvest at maturity and dry/store properly.",Jowar (sorghum) supports local food and income needs in Northern Karnataka; market value depends on quality and access to buyers.,"Used for food, feed or processing depending on crop; residues generally returned to soil as mulch or used as fodder.","Bagalkot, Belagavi, Bidar, Dharwad, Gadag, Haveri, Kalaburagi, Koppal, Raichur, Vijayapura, Yadgir, Vijayanagara",KVK / ICAR YouTube playlist – general crop practices: https://www.youtube.com/user/ICARDARESEARCH,KVK or Agri extension article portal (search specific crop): https://kvk.icar.gov.in/
